Nivel,Probabilidad
0,0.000197370424508192
1,3.80656556428528e-07
2,1.90328278214264e-07
3,1.90328278214264e-07
4,2.85492417321396e-07
5,1.90328278214264e-07
6,1.90328278214264e-07
7,9.5164139107132e-08
8,9.5164139107132e-08
9,1.90328278214264e-07
10,1.90328278214264e-07
11,9.5164139107132e-08
12,1.90328278214264e-07
13,2.85492417321396e-07
14,9.5164139107132e-08
15,2.85492417321396e-07
16,9.5164139107132e-08
17,1.90328278214264e-07
18,2.85492417321396e-07
19,9.5164139107132e-08
20,1.90328278214264e-07
21,1.90328278214264e-07
22,3.80656556428528e-07
23,3.80656556428528e-07
24,3.80656556428528e-07
25,1.90328278214264e-07
26,2.85492417321396e-07
27,9.5164139107132e-08
28,2.85492417321396e-07
29,9.5164139107132e-08
30,9.5164139107132e-08
31,2.85492417321396e-07
32,2.85492417321396e-07
33,2.85492417321396e-07
34,0
35,4.7582069553566e-07
36,1.90328278214264e-07
37,4.7582069553566e-07
38,9.5164139107132e-08
39,1.90328278214264e-07
40,9.5164139107132e-08
41,9.5164139107132e-08
42,0
43,1.90328278214264e-07
44,2.85492417321396e-07
45,1.90328278214264e-07
46,2.85492417321396e-07
47,1.90328278214264e-07
48,0
49,4.7582069553566e-07
50,2.85492417321396e-07
51,9.5164139107132e-08
52,1.90328278214264e-07
53,1.90328278214264e-07
54,2.85492417321396e-07
55,1.90328278214264e-07
56,9.5164139107132e-08
57,9.5164139107132e-08
58,1.90328278214264e-07
59,2.85492417321396e-07
60,0
61,2.85492417321396e-07
62,1.90328278214264e-07
63,4.7582069553566e-07
64,4.7582069553566e-07
65,1.90328278214264e-07
66,9.5164139107132e-08
67,1.90328278214264e-07
68,9.5164139107132e-08
69,2.85492417321396e-07
70,0
71,2.85492417321396e-07
72,3.80656556428528e-07
73,3.80656556428528e-07
74,2.85492417321396e-07
75,9.5164139107132e-08
76,9.5164139107132e-08
77,9.5164139107132e-08
78,1.90328278214264e-07
79,0
80,2.85492417321396e-07
81,1.90328278214264e-07
82,1.90328278214264e-07
83,2.85492417321396e-07
84,9.5164139107132e-08
85,1.90328278214264e-07
86,0
87,9.5164139107132e-08
88,3.80656556428528e-07
89,5.70984834642792e-07
