Nivel,Probabilidad
0,5.01179245283019e-05
1,7.96787353391127e-08
2,7.96787353391127e-08
3,0
4,7.96787353391127e-08
5,7.96787353391127e-08
6,2.39036206017338e-07
7,0
8,1.59357470678225e-07
9,7.96787353391127e-08
10,0
11,0
12,0
13,1.59357470678225e-07
14,1.59357470678225e-07
15,0
16,0
17,7.96787353391127e-08
18,0
19,1.59357470678225e-07
20,1.59357470678225e-07
21,1.59357470678225e-07
22,7.96787353391127e-08
23,0
24,2.39036206017338e-07
25,0
26,7.96787353391127e-08
27,2.39036206017338e-07
28,0
29,7.96787353391127e-08
30,7.96787353391127e-08
31,1.59357470678225e-07
32,2.39036206017338e-07
33,7.96787353391127e-08
34,1.59357470678225e-07
35,1.59357470678225e-07
36,7.96787353391127e-08
37,2.39036206017338e-07
38,7.96787353391127e-08
39,7.96787353391127e-08
40,0
41,3.98393676695564e-07
42,0
43,7.96787353391127e-08
44,7.96787353391127e-08
45,0
46,0
47,0
48,0
49,7.96787353391127e-08
50,0
51,1.59357470678225e-07
52,1.59357470678225e-07
53,0
54,1.59357470678225e-07
55,7.96787353391127e-08
56,0
57,7.96787353391127e-08
58,7.96787353391127e-08
59,7.96787353391127e-08
60,0
61,7.96787353391127e-08
62,3.18714941356451e-07
63,1.59357470678225e-07
64,1.59357470678225e-07
65,0
66,7.96787353391127e-08
67,0
68,7.96787353391127e-08
69,7.96787353391127e-08
70,3.18714941356451e-07
71,0
72,1.59357470678225e-07
73,1.59357470678225e-07
74,0
75,2.39036206017338e-07
76,0
77,2.39036206017338e-07
78,0
79,1.59357470678225e-07
80,1.59357470678225e-07
81,7.96787353391127e-08
82,2.39036206017338e-07
83,0
84,2.39036206017338e-07
85,1.59357470678225e-07
86,0
87,1.59357470678225e-07
88,0
89,1.59357470678225e-07
90,7.96787353391127e-08
91,0
92,7.96787353391127e-08
93,7.96787353391127e-08
94,0
95,0
96,7.96787353391127e-08
97,0
98,7.96787353391127e-08
99,7.96787353391127e-08
100,0
101,1.59357470678225e-07
102,0
103,0
104,0
105,0
106,7.96787353391127e-08
107,7.96787353391127e-08
108,1.59357470678225e-07
109,2.39036206017338e-07
110,7.96787353391127e-08
111,1.59357470678225e-07
112,7.96787353391127e-08
113,0
114,7.96787353391127e-08
115,0
116,1.59357470678225e-07
117,1.59357470678225e-07
118,2.39036206017338e-07
119,7.96787353391127e-08
120,1.59357470678225e-07
121,0
122,7.96787353391127e-08
123,0
124,0
125,1.59357470678225e-07
126,1.59357470678225e-07
127,1.59357470678225e-07
128,7.96787353391127e-08
129,7.96787353391127e-08
130,1.59357470678225e-07
131,7.96787353391127e-08
132,7.96787353391127e-08
133,0
134,0
135,0
